101-OMS-6100-CFM,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.66
305042 Fundamentals_Of_Antifungal_Drugs,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.08
305043 Hypersensitivity_(Histamine_Anti_Histamine),SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.15
305044 Introduction_To_Central_Nervous_System,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.08
305045 Sedative_Hypnotic_Drugs,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.14
305046 Antidepressants_Mood_Stabilizers_I,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.17
305048 Antipsychotic_Agents,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.16
305049 Antiepileptic_Agents_(Anticonvulsants),SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.13
305050 Cns_Neurodegenerative_Diseases,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.22
305051 Parkinsonism_Other_Movement_Disorders,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.18
305052 Drugs_Of_Abuse_I,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.19
305054 Alcohol_Abuse,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.23
306-OMS-7291-CS1,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.23
306002 Establishing_Rapport,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.68
306003 Patient_Centered_Home,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.93
306005 History_And_Physical,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.54
306006 History_And_Physical,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.19
306007 Pediatrics_Growth_Development,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.41
306009 Soap_Note_Focused_Visit,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.46
306011 Geriatrics_1,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.68
306012 Clinical_Problem_Solving,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.84
306015 Palliative_End_Of_Life_Care,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.74
306017 Information_Technology_In_Practice,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.90
306018 Medical_Jurisprudence,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.87
306021 Evidence_Based_Medicine,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.36
306022 Preventive_Healthcare,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.84
306023 Geriatrics_2,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.41
306024 Geriatrics_3,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.54
